story_id,keyword_id,keyword
9806,2276,Ghost
7232,41,local legends
19425,480,Haberlandt
2869,937,Kirche
4182,1149,tot
11812,29,witches
5707,130,Franzose
16453,2412,England
19396,32,Hexe
8965,6430,Blocksberg Orte
11740,1497,Name
18326,16,sacrilege
508,16,sacrilege
19321,812,varia
11722,292,Riese
13557,1106,Nachbar
7430,732,Mecklenburg
5704,16,sacrilege
15269,955,devil's confederate
12646,1558,Gen.
16403,560,Zwergensage
17759,16,sacrilege
5289,195,Tiersage
1507,70,Horse shoe etc.
14569,29,witches
18820,4034,"Gegenstände, Geräte Varia"
9542,5932,Regen
3538,130,Franzose
15471,415,water
11164,91,dead
11643,394,haunting animals
12104,4286,zusammentragen
1206,45,Lokalsage
7444,45,Lokalsage
19539,333,Räubersage
14130,600,ewig
13021,835,Robber-knight gen.
18039,2364,Schürze platzt
11255,4658,reisen
7217,29,witches
17540,4,historical legends
8804,2375,Scheintoter
9053,5014,Johannisnacht
49,54,Störtebecker
2238,2241,Kalenner
14208,809,Teufel
16424,292,Riese
17501,8,"Sage, historische"
5823,16,sacrilege
7777,2416,"Entheiligung des Feiertages, Karfreitag"
16906,4,historical legends
5571,45,Lokalsage
7988,870,"Tote red., erste Frau, Mutter"
8048,2216,Teufelssage
12956,1135,Zaum
10985,1717,Sieve border
392,395,treasure
12000,986,"30-/100-year war, blending"
16991,799,Blutstropfen
15424,582,laufen
15028,415,water
18937,53,robbers
10504,1559,Allg.
19896,1975,weglaufen
10609,1162,Gälknoeker
11240,6601,Wölfe zum Wallach gemacht
16293,967,Scharfrichter
4415,4416,Aas
14961,395,treasure
9542,6993,regnen
9607,7018,Mahl
1126,93,Toter
8115,292,Riese
19276,2583,Nacht
13470,45,Lokalsage
7430,7289,Kyffhäuser: Kaiser im Berg
11901,16,sacrilege
19170,555,moort
7790,6441,Seeräuber Varia
14795,6929,Zauberer
984,986,"30-/100-year war, blending"
17987,437,"Taters, krup unner"
9859,292,Riese
18784,4,historical legends
4559,1137,Hexenhalfter
12839,395,treasure
16018,5144,Aberglaube
13458,223,Viting
12048,466,Kirchliches
14277,333,Räubersage
4080,292,Riese
18038,437,"Taters, krup unner"
12528,52,Räuber
14505,53,robbers
16695,30,on cattle
11339,53,robbers
6988,938,Kloster
17473,900,Mountain open
7720,246,Halskette
5087,5090,betteln
984,4,historical legends
8005,986,"30-/100-year war, blending"
15842,40,Familie
10644,29,witches
17672,2413,Engelland
11019,19,Scheidengänger
5491,5493,Ribnitz Binnensee etc.
2810,8,"Sage, historische"
7802,442,Stadt
14256,7289,Kyffhäuser: Kaiser im Berg
8355,8356,"Juden, Hostie"
18484,970,Melken
1926,29,witches
8721,599,Ewig Leben: I
11104,555,moort
1443,72,local legends: varia
4364,16,sacrilege
4059,4060,Ewiger Aalblüser
7595,91,dead
6253,580,Hemd
11512,4879,Dörfer
6729,16,sacrilege
10683,4661,Maus
13078,16,sacrilege
17788,149,Maitag
1697,555,moort
8044,72,local legends: varia
18740,4,historical legends
17990,1775,not to fear
19703,30,on cattle
11839,52,Räuber
6868,2554,"waschen, sich"
10615,45,Lokalsage
6945,16,sacrilege
18345,41,local legends
9919,440,destruction
17306,1211,Robber-knight
12821,565,Varia II
4143,19,Scheidengänger
14609,29,witches
6374,80,werewolf
12846,1497,Name
8807,40,Familie
9863,93,Toter
11380,784,wissen
12296,524,Volkssage
15974,214,"Historic, elderly"
11866,4066,Totenkopf etc.
14407,2364,Schürze platzt
14762,1558,Gen.
12576,4879,Dörfer
8621,8623,eingemauert
14130,599,Ewig Leben: I
7804,52,Räuber
18141,848,"Pferd, allg. Abwehr etc."
11584,332,bells
3589,331,Lit.
14382,582,laufen
5989,784,wissen
4411,45,Lokalsage
12981,12982,Blas (Musikinstrument)
3765,3768,Kamin
11314,233,"Tiersagen, Märchen I"
2832,8,"Sage, historische"
1260,16,sacrilege
18166,290,giants
18945,4,historical legends
2,3,Däne
1366,1368,Großmutter
299,305,rut
4806,351,Schatzsage
17129,8196,Räuberbanden
1212,1137,Hexenhalfter
6680,16,sacrilege
13130,929,Buttern
892,41,local legends
11205,250,"Kette tragen, Ring"
17893,4114,Großvater
7972,195,Tiersage
9997,6641,Seele
13663,6586,Frosch
19041,72,local legends: varia
14126,32,Hexe
11762,256,Ring
19655,70,Horse shoe etc.
4923,292,Riese
16665,63,Blocksberg
2987,91,dead
7293,1211,Robber-knight
13066,63,Blocksberg
19183,247,stehlen
10032,2375,Scheintoter
18228,810,Varia
7660,117,quid
14072,29,witches
17377,955,devil's confederate
18702,1092,Bruder
7580,496,"Wiederkehr, Totenhemd"
17630,826,weiblich
13498,32,Hexe
9175,6641,Seele
9531,440,destruction
9800,330,Literature
2453,16,sacrilege
5316,223,Viting
9806,1162,Gälknoeker
12048,16,sacrilege
5960,4034,"Gegenstände, Geräte Varia"
10472,3066,Dorf
1311,1315,gelähmt
19170,2412,England
14860,415,water
19298,826,weiblich
9516,7012,Mäuse machen etc.
13259,19,Scheidengänger
423,4,historical legends
5120,130,Franzose
19545,16,sacrilege
13597,16,sacrilege
19626,331,Lit.
5488,2416,"Entheiligung des Feiertages, Karfreitag"
13428,198,Fuchs
19347,91,dead
14279,496,"Wiederkehr, Totenhemd"
18670,288,werfen Steine
4319,4320,Lappen (untersch. Bed.)
5731,402,Kuh
12782,545,See (der)
15078,16,sacrilege
7154,7156,Katz
1163,784,wissen
11457,1395,ausmessen
13194,93,Toter
10044,91,dead
17493,29,witches
17295,482,Edelleute
17893,64,Blocksberg varia
11513,8,"Sage, historische"
5543,292,Riese
9147,5014,Johannisnacht
1269,1272,Grenzstein
11491,6586,Frosch
12062,93,Toter
19965,45,Lokalsage
3021,71,Hufeisen
13724,8,"Sage, historische"
834,72,local legends: varia
1278,402,Kuh
2102,1267,Vater
17521,1360,Grab
11275,4879,Dörfer
14401,599,Ewig Leben: I
11664,91,dead
18270,970,Melken
18726,16,sacrilege
5819,440,destruction
4207,2671,Riesensage
1651,1669,auswandern
10462,351,Schatzsage
19461,599,Ewig Leben: I
16676,41,local legends
5876,16,sacrilege
15415,599,Ewig Leben: I
2495,480,Haberlandt
6056,72,local legends: varia
18763,40,Familie
876,16,sacrilege
11943,16,sacrilege
11347,53,robbers
13183,93,Toter
6076,111,from the french period
19840,8,"Sage, historische"
9550,9552,binden
15471,307,Wasser
1134,29,witches
17641,91,dead
9537,2481,nicht
16381,784,wissen
11396,29,witches
11850,52,Räuber
10529,2626,Fischersagen
18114,556,"Taufe, Lattenstiger"
1478,304,krank
9198,364,Pferd
19484,93,Toter
4896,16,sacrilege
5455,1686,Lattenspringer (moonstruck)
3518,394,haunting animals
13814,3980,Totentrauung
16507,93,Toter
17885,131,French people
19019,195,Tiersage
11380,91,dead
12964,2087,"Ort, Orte, wo Räuber hausen"
8035,8,"Sage, historische"
5336,19,Scheidengänger
8047,2697,Gans
9996,986,"30-/100-year war, blending"
18059,4,historical legends
9513,8391,"Musik, allgemein"
14215,14216,"Aussehen, schwarz"
8287,8290,Brautpaar
7476,599,Ewig Leben: I
15176,2087,"Ort, Orte, wo Räuber hausen"
19921,72,local legends: varia
4495,1137,Hexenhalfter
15591,14647,Lotse
4415,1137,Hexenhalfter
15213,440,destruction
5136,32,Hexe
10647,1070,Baum
11746,2643,Name: varia
12014,52,Räuber
6500,6507,Wulf
8987,63,Blocksberg
15122,53,robbers
15460,4661,Maus
909,848,"Pferd, allg. Abwehr etc."
12141,8,"Sage, historische"
17628,93,Toter
10103,29,witches
4473,4480,zerreißen
19242,131,French people
5282,257,Kette
6370,6373,schwarz
6097,4123,wie See entstanden etc.
8050,415,water
14188,379,Bild
5146,130,Franzose
11994,4661,Maus
15280,292,Riese
7720,16,sacrilege
15662,32,Hexe
19300,3955,schlagen
14053,70,Horse shoe etc.
11015,290,giants
10112,7746,Hexentanzplatz
26,29,witches
